n, time in ms
100,20
200,8
300,8
400,15
500,18
600,23
700,29
800,55
900,54
1000,88
1100,100
1200,103
1300,108
1400,121
1500,135
1600,123
1700,144
1800,165
1900,166
2000,181
2100,186
2200,206
2300,210
2400,236
2500,268
2600,300
2700,325
2800,383
2900,306
3000,332
3100,339
3200,361
3300,405
3400,384
3500,415
3600,455
3700,444
3800,448
3900,556
4000,491
4100,505
4200,510
4300,520
4400,589
4500,554
4600,589
4700,570
4800,574
4900,593
5000,647
5100,614
5200,666
5300,646
5400,669
5500,752
5600,699
5700,783
5800,823
5900,882
6000,800
6100,856
6200,862
6300,875
6400,899
6500,837
6600,908
6700,933
6800,1038
6900,1083
7000,1095
7100,1139
7200,1077
7300,1087
7400,1071
7500,1192
7600,1160
7700,1187
7800,1254
7900,1228
8000,1236
8100,1192
8200,1291
8300,1232
8400,1195
8500,1381
8600,1320
8700,1520
8800,1307
8900,1439
9000,1349
9100,1252
9200,1478
9300,1378
9400,1493
9500,1451
9600,1593
9700,1341
9800,1596
9900,1453
10000,1534
